Source,Title,Link
Canvas,Teaching and Learning with Generative AI (ASU),https://canvas.asu.edu/courses/157584
Articulate Rise,Module 1 Lesson,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv
Articulate Rise,Module 2 Lesson,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL
Articulate Rise,Module 3 Lesson,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01
Articulate Rise,Module 4 Lesson,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n
Articulate Rise,Module 5 Lesson,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf
Articulate Rise,Module 6 Lesson,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE
PDF,GenAI 101 Take-Home Reference Guide,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view
AI-X Framework,AI-X Framework (LEI / ASU),https://aix-framework.lei-tech.org/home
LX ASU AI,ASU Learning Experience — AI Creative Learning Lab,https://lx.asu.edu/ai
